num_crops,global_id,identity_key,label,true_label,camera,camera_id,scene,object_type,is_occluded,occluded_crop_ratio,start_frame,end_frame,example_crop_path,track_id,cluster_label,cluster_as_identity,cluster_purity,is_noise,is_misclustered
3,Person_0000,Hospital_000__Person_0000,0,0,Camera_04,14,Hospital_000,Person,0,0.0,270,5850,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_04/Person_0000_Camera_04_f000270_r003.jpg,None,-1,NOISE,0.0,True,False
11,Person_0000,Hospital_000__Person_0000,0,0,Camera_20,30,Hospital_000,Person,1,0.5454545454545454,1020,4230,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_20/Person_0000_Camera_20_f001020_r003.jpg,None,-1,NOISE,0.0,True,False
2,Person_0000,Hospital_000__Person_0000,0,0,Camera_23,33,Hospital_000,Person,0,0.0,3660,4200,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_23/Person_0000_Camera_23_f003660_r006.jpg,None,-1,NOISE,0.0,True,False
105,Person_0000,Hospital_000__Person_0000,0,0,Camera_27,37,Hospital_000,Person,1,0.05714285714285714,270,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_27/Person_0000_Camera_27_f000270_r002.jpg,None,-1,NOISE,0.0,True,False
1,Person_0001,Hospital_000__Person_0001,1,1,Camera_03,13,Hospital_000,Person,0,0.0,6720,6720,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_03/Person_0001_Camera_03_f006720_r005.jpg,None,-1,NOISE,0.0,True,False
8,Person_0001,Hospital_000__Person_0001,1,1,Camera_19,29,Hospital_000,Person,0,0.0,4800,8850,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_19/Person_0001_Camera_19_f004800_r002.jpg,None,-1,NOISE,0.0,True,False
7,Person_0001,Hospital_000__Person_0001,1,1,Camera_24,34,Hospital_000,Person,0,0.0,420,6720,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_24/Person_0001_Camera_24_f000420_r008.jpg,None,-1,NOISE,0.0,True,False
12,Person_0002,Hospital_000__Person_0002,2,2,Camera,0,Hospital_000,Person,1,0.6666666666666666,0,90,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0002/Camera/Person_0002_Camera_f000000_r000.jpg,None,-1,NOISE,0.0,True,False
7,Person_0003,Hospital_000__Person_0003,3,3,Camera_20,30,Hospital_000,Person,1,0.5714285714285714,1080,2730,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0003/Camera_20/Person_0003_Camera_20_f001080_r001.jpg,None,-1,NOISE,0.0,True,False
1,Person_0003,Hospital_000__Person_0003,3,3,Camera_23,33,Hospital_000,Person,0,0.0,2760,2760,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0003/Camera_23/Person_0003_Camera_23_f002760_r002.jpg,None,-1,NOISE,0.0,True,False
