identity_key,num_clusters_for_id,assigned_count,noise_count,is_fragmented
Hospital_000__Person_0034,4,9,7,True
Hospital_000__Person_0015,3,7,16,True
Hospital_000__Person_0039,3,6,10,True
Hospital_000__Person_0009,3,7,8,True
Warehouse_016__FourierGR1T2_0352,3,5,7,True
Warehouse_016__FourierGR1T2_0354,3,4,7,True
Hospital_000__Person_0003,2,4,12,True
Hospital_000__Person_0019,2,4,12,True
Hospital_000__Person_0033,2,8,11,True
Hospital_000__Person_0007,2,7,9,True
Hospital_000__Person_0001,2,4,9,True
Warehouse_016__FourierGR1T2_0353,2,2,9,True
Warehouse_016__FourierGR1T2_0627,2,2,9,True
Hospital_000__Person_0020,2,8,8,True
Warehouse_015__Person_0002,2,5,8,True
Warehouse_015__Person_0015,2,4,8,True
Warehouse_015__Person_0017,2,4,8,True
Warehouse_015__Person_0169,2,4,8,True
Warehouse_015__Person_0172,2,4,8,True
Warehouse_015__Person_0235,2,3,8,True
Hospital_000__Person_0021,2,7,7,True
Hospital_000__Person_0029,2,7,7,True
Hospital_000__Person_0006,2,6,7,True
Hospital_000__Person_0011,2,6,7,True
Warehouse_015__Person_0004,2,4,7,True
Warehouse_015__Person_0198,2,4,7,True
Warehouse_015__Person_0221,2,4,7,True
Hospital_000__Person_0024,2,3,7,True
Hospital_000__Person_0000,2,8,6,True
Hospital_000__Person_0030,2,5,6,True
Warehouse_015__Person_0236,2,5,6,True
Warehouse_015__Person_0238,2,5,6,True
Warehouse_015__Person_0013,2,4,6,True
Warehouse_015__Person_0216,2,4,6,True
Warehouse_015__Person_0179,2,3,6,True
Warehouse_015__Person_0192,2,5,5,True
Warehouse_015__Person_0194,2,5,5,True
Hospital_000__Person_0005,2,4,5,True
Warehouse_015__Person_0166,2,4,5,True
Warehouse_015__Person_0173,2,7,4,True
Warehouse_015__Person_0185,2,7,4,True
Warehouse_015__Person_0218,2,6,4,True
Warehouse_015__Person_0012,2,6,3,True
Hospital_000__Person_0038,1,4,15,False
Hospital_000__Person_0025,1,2,14,False
Hospital_000__Person_0008,1,5,13,False
Hospital_000__Person_0018,1,4,13,False
Hospital_000__Person_0036,1,3,12,False
Hospital_000__Person_0027,1,2,12,False
Hospital_000__Person_0023,1,6,11,False
Warehouse_016__FourierGR1T2_0626,1,1,11,False
Hospital_000__Person_0013,1,6,10,False
Hospital_000__Person_0035,1,6,10,False
Hospital_000__Person_0010,1,3,10,False
Hospital_000__Person_0031,1,3,10,False
Warehouse_015__Person_0171,1,2,10,False
Warehouse_015__Person_0175,1,2,10,False
Hospital_000__Person_0004,1,4,9,False
Warehouse_015__Person_0217,1,4,9,False
Warehouse_015__Person_0003,1,3,9,False
Hospital_000__Person_0017,1,2,9,False
Warehouse_015__Person_0011,1,2,9,False
Warehouse_015__Person_0016,1,2,9,False
Warehouse_015__Person_0196,1,2,9,False
Warehouse_015__Person_0197,1,2,9,False
Warehouse_015__Person_0232,1,2,9,False
Warehouse_015__Person_0170,1,1,9,False
Hospital_000__Person_0028,1,6,8,False
Warehouse_015__Person_0202,1,4,8,False
Warehouse_015__Person_0006,1,3,8,False
Warehouse_015__Person_0188,1,2,8,False
Warehouse_015__Person_0189,1,1,8,False
Hospital_000__Person_0014,1,5,7,False
Warehouse_015__Person_0174,1,5,7,False
Warehouse_015__Person_0234,1,5,7,False
Warehouse_015__Person_0176,1,3,7,False
Warehouse_015__Person_0186,1,3,7,False
Warehouse_015__Person_0237,1,2,7,False
Warehouse_015__Person_0190,1,7,6,False
Warehouse_015__Person_0177,1,6,6,False
Warehouse_015__Person_0193,1,5,6,False
Warehouse_015__Transporter_0007,1,5,6,False
Warehouse_015__Person_0181,1,4,6,False
Warehouse_015__Person_0010,1,3,6,False
Warehouse_015__Person_0233,1,3,6,False
Warehouse_015__Person_0195,1,2,6,False
Warehouse_015__Person_0219,1,2,6,False
Warehouse_015__Person_0241,1,2,6,False
Hospital_000__Person_0022,1,8,5,False
Warehouse_015__Person_0168,1,8,5,False
Warehouse_015__Person_0215,1,8,5,False
Warehouse_015__Person_0009,1,6,5,False
Warehouse_015__Person_0191,1,6,5,False
Warehouse_015__Person_0239,1,5,5,False
Warehouse_015__Person_0222,1,2,5,False
Warehouse_015__Person_0200,1,1,5,False
Warehouse_015__Person_0167,1,6,4,False
Warehouse_015__Person_0201,1,9,3,False
Warehouse_015__Person_0001,1,7,2,False
