query_index,query_id,query_camera,top1_index,top1_id,top1_camera,top1_score,top1_correct,ap
0,Hospital_000__Person_0000,Camera,490,Hospital_000__Person_0034,Camera_07,0.9852723479270935,0,0.4093384427049353
1,Hospital_000__Person_0000,Camera_03,10,Hospital_000__Person_0000,Camera_24,0.9935733079910278,1,0.7029302184604432
2,Hospital_000__Person_0000,Camera_04,332,Hospital_000__Person_0022,Camera_27,0.9599876403808594,0,0.07158775789228898
3,Hospital_000__Person_0000,Camera_05,10,Hospital_000__Person_0000,Camera_24,0.9873520731925964,1,0.6384187537162462
4,Hospital_000__Person_0000,Camera_06,11,Hospital_000__Person_0000,Camera_26,0.9925220608711243,1,0.5777172197070856
5,Hospital_000__Person_0000,Camera_08,7,Hospital_000__Person_0000,Camera_20,0.9782232642173767,1,0.567941543548132
6,Hospital_000__Person_0000,Camera_09,11,Hospital_000__Person_0000,Camera_26,0.9910878539085388,1,0.6891376598133971
7,Hospital_000__Person_0000,Camera_20,5,Hospital_000__Person_0000,Camera_08,0.9782232642173767,1,0.3790435396204323
8,Hospital_000__Person_0000,Camera_22,10,Hospital_000__Person_0000,Camera_24,0.9929648637771606,1,0.6320029536294456
9,Hospital_000__Person_0000,Camera_23,488,Hospital_000__Person_0034,Camera_03,0.9304035902023315,0,0.04170285442755455
10,Hospital_000__Person_0000,Camera_24,1,Hospital_000__Person_0000,Camera_03,0.9935733079910278,1,0.6577956199113798
11,Hospital_000__Person_0000,Camera_26,4,Hospital_000__Person_0000,Camera_06,0.9925220608711243,1,0.5819919581869408
12,Hospital_000__Person_0000,Camera_27,5,Hospital_000__Person_0000,Camera_08,0.9749827980995178,1,0.4783333897600445
13,Hospital_000__Person_0000,Camera_31,436,Hospital_000__Person_0030,Camera_08,0.9086678624153137,0,0.21975041806029874
14,Hospital_000__Person_0001,Camera_03,253,Hospital_000__Person_0017,Camera_24,0.8525812029838562,0,0.038877879400989426
15,Hospital_000__Person_0001,Camera_04,25,Hospital_000__Person_0001,Camera_29,0.9734976887702942,1,0.5147712671630756
16,Hospital_000__Person_0001,Camera_07,20,Hospital_000__Person_0001,Camera_21,0.9821316003799438,1,0.4620299241355903
17,Hospital_000__Person_0001,Camera_10,23,Hospital_000__Person_0001,Camera_25,0.9700362682342529,1,0.6173837579751977
18,Hospital_000__Person_0001,Camera_16,20,Hospital_000__Person_0001,Camera_21,0.9829577803611755,1,0.5414715037941313
19,Hospital_000__Person_0001,Camera_19,157,Hospital_000__Person_0011,Camera_03,0.97109454870224,0,0.039820617223427814
20,Hospital_000__Person_0001,Camera_21,25,Hospital_000__Person_0001,Camera_29,0.9890154600143433,1,0.4823239565655871
21,Hospital_000__Person_0001,Camera_23,23,Hospital_000__Person_0001,Camera_25,0.9864152669906616,1,0.5648586725122322
22,Hospital_000__Person_0001,Camera_24,199,Hospital_000__Person_0014,Camera_03,0.9379837512969971,0,0.047417368760625495
23,Hospital_000__Person_0001,Camera_25,21,Hospital_000__Person_0001,Camera_23,0.9864152669906616,1,0.5663183339017203
24,Hospital_000__Person_0001,Camera_28,165,Hospital_000__Person_0011,Camera_24,0.9479562640190125,0,0.0918881845151597
25,Hospital_000__Person_0001,Camera_29,20,Hospital_000__Person_0001,Camera_21,0.9890154600143433,1,0.5869272597534134
26,Hospital_000__Person_0001,Camera_30,489,Hospital_000__Person_0034,Camera_04,0.9612682461738586,0,0.010943950886974252
27,Hospital_000__Person_0002,Camera,40,Hospital_000__Person_0002,Camera_26,0.8558467030525208,1,0.43099063743361554
28,Hospital_000__Person_0002,Camera_03,37,Hospital_000__Person_0002,Camera_22,0.9840446710586548,1,0.8510512049311202
29,Hospital_000__Person_0002,Camera_04,390,Hospital_000__Person_0027,Camera,0.9627538919448853,0,0.020156591305977266
30,Hospital_000__Person_0002,Camera_05,40,Hospital_000__Person_0002,Camera_26,0.9237267374992371,1,0.4402206100443797
31,Hospital_000__Person_0002,Camera_07,35,Hospital_000__Person_0002,Camera_19,0.9679489135742188,1,0.7667571293525121
32,Hospital_000__Person_0002,Camera_08,42,Hospital_000__Person_0002,Camera_28,0.9610868096351624,1,0.723849543258952
33,Hospital_000__Person_0002,Camera_16,36,Hospital_000__Person_0002,Camera_21,0.9742158651351929,1,0.5205290236736881
34,Hospital_000__Person_0002,Camera_18,35,Hospital_000__Person_0002,Camera_19,0.9686587452888489,1,0.6503833762380591
35,Hospital_000__Person_0002,Camera_19,36,Hospital_000__Person_0002,Camera_21,0.977306604385376,1,0.7917043018626171
36,Hospital_000__Person_0002,Camera_21,35,Hospital_000__Person_0002,Camera_19,0.977306604385376,1,0.6030698199988507
37,Hospital_000__Person_0002,Camera_22,28,Hospital_000__Person_0002,Camera_03,0.9840446710586548,1,0.7920348620108856
38,Hospital_000__Person_0002,Camera_23,35,Hospital_000__Person_0002,Camera_19,0.9525977373123169,1,0.5628700934985037
39,Hospital_000__Person_0002,Camera_24,28,Hospital_000__Person_0002,Camera_03,0.9800407886505127,1,0.8465714748957545
40,Hospital_000__Person_0002,Camera_26,30,Hospital_000__Person_0002,Camera_05,0.9237267374992371,1,0.5695255749391807
41,Hospital_000__Person_0002,Camera_27,36,Hospital_000__Person_0002,Camera_21,0.9663560390472412,1,0.5136446309919465
42,Hospital_000__Person_0002,Camera_28,32,Hospital_000__Person_0002,Camera_08,0.9610868096351624,1,0.8122465254044201
43,Hospital_000__Person_0002,Camera_29,36,Hospital_000__Person_0002,Camera_21,0.9726997017860413,1,0.5325382328617202
44,Hospital_000__Person_0003,Camera,46,Hospital_000__Person_0003,Camera_04,0.9768714308738708,1,0.391704738987649
45,Hospital_000__Person_0003,Camera_03,52,Hospital_000__Person_0003,Camera_19,0.9833548069000244,1,0.4981968890227301
46,Hospital_000__Person_0003,Camera_04,360,Hospital_000__Person_0024,Camera_27,0.9802188873291016,0,0.4254963512628826
47,Hospital_000__Person_0003,Camera_05,56,Hospital_000__Person_0003,Camera_24,0.9741935729980469,1,0.35655184331517864
48,Hospital_000__Person_0003,Camera_06,52,Hospital_000__Person_0003,Camera_19,0.9767963290214539,1,0.6902007640134752
49,Hospital_000__Person_0003,Camera_08,54,Hospital_000__Person_0003,Camera_22,0.9783797264099121,1,0.4808313837249635
50,Hospital_000__Person_0003,Camera_09,54,Hospital_000__Person_0003,Camera_22,0.976808488368988,1,0.6264023891859787
51,Hospital_000__Person_0003,Camera_18,52,Hospital_000__Person_0003,Camera_19,0.9642759561538696,1,0.5004209291004584
52,Hospital_000__Person_0003,Camera_19,45,Hospital_000__Person_0003,Camera_03,0.9833548069000244,1,0.5351704030896958
53,Hospital_000__Person_0003,Camera_20,480,Hospital_000__Person_0033,Camera_23,0.9493252635002136,0,0.02336117582364168
54,Hospital_000__Person_0003,Camera_22,354,Hospital_000__Person_0024,Camera_08,0.9829849004745483,0,0.47919782853993376
