rank,accuracy
1,0.7331571994715984
2,0.8011889035667107
3,0.8421400264200792
4,0.8612945838837517
5,0.8784676354029062
6,0.8883751651254954
7,0.8963011889035667
8,0.9002642007926024
9,0.904887714663144
10,0.9095112285336856
11,0.9141347424042272
12,0.9194187582562747
13,0.9240422721268163
14,0.9260237780713342
15,0.928005284015852
16,0.9319682959048877
17,0.9346103038309115
18,0.9359313077939234
19,0.9359313077939234
20,0.9372523117569352
21,0.9379128137384413
22,0.9392338177014531
23,0.939894319682959
24,0.9412153236459709
25,0.9445178335535006
26,0.9464993394980185
27,0.9471598414795245
28,0.9491413474240423
29,0.9498018494055482
30,0.952443857331572
31,0.9531043593130779
32,0.9550858652575958
33,0.9577278731836195
34,0.9577278731836195
35,0.9583883751651255
36,0.9597093791281374
37,0.9597093791281374
38,0.9610303830911493
39,0.9610303830911493
40,0.9623513870541611
41,0.9623513870541611
42,0.9636723910171731
43,0.9636723910171731
44,0.9636723910171731
45,0.9636723910171731
46,0.964993394980185
47,0.9656538969616909
48,0.9656538969616909
49,0.9663143989431968
50,0.9663143989431968
