cluster_label,identity_key,count,cluster_total,ratio
0,Hospital_000__Person_0000,10,16,0.625
0,Lab_000__Person_0000,6,16,0.375
1,Hospital_000__Person_0001,10,10,1.0
2,Hospital_000__Person_0002,16,16,1.0
3,Hospital_000__Person_0003,14,14,1.0
4,Hospital_000__Person_0004,9,9,1.0
5,Hospital_000__Person_0005,4,4,1.0
6,Hospital_000__Person_0006,12,12,1.0
7,Hospital_000__Person_0007,8,8,1.0
8,Hospital_000__Person_0008,17,17,1.0
9,Hospital_000__Person_0009,15,15,1.0
10,Hospital_000__Person_0010,12,12,1.0
11,Hospital_000__Person_0011,13,13,1.0
12,Hospital_000__Person_0012,3,3,1.0
13,Hospital_000__Person_0012,3,3,1.0
14,Hospital_000__Person_0013,10,10,1.0
15,Hospital_000__Person_0013,2,2,1.0
16,Hospital_000__Person_0014,10,10,1.0
17,Hospital_000__Person_0015,2,2,1.0
18,Hospital_000__Person_0015,2,2,1.0
19,Hospital_000__Person_0015,7,7,1.0
20,Hospital_000__Person_0016,9,9,1.0
21,Hospital_000__Person_0017,3,3,1.0
22,Hospital_000__Person_0017,8,8,1.0
23,Hospital_000__Person_0018,2,2,1.0
24,Hospital_000__Person_0018,9,16,0.5625
24,Warehouse_016__Person_0350,7,16,0.4375
25,Hospital_000__Person_0019,12,12,1.0
26,Hospital_000__Person_0020,14,14,1.0
27,Hospital_000__Person_0021,6,6,1.0
28,Hospital_000__Person_0022,11,22,0.5
28,Warehouse_016__Person_0625,11,22,0.5
29,Hospital_000__Person_0023,13,13,1.0
30,Hospital_000__Person_0024,10,10,1.0
31,Hospital_000__Person_0025,13,13,1.0
32,Hospital_000__Person_0026,2,2,1.0
33,Hospital_000__Person_0026,8,8,1.0
34,Hospital_000__Person_0027,11,11,1.0
35,Hospital_000__Person_0028,13,13,1.0
36,Hospital_000__Person_0029,11,11,1.0
37,Hospital_000__Person_0030,10,10,1.0
38,Hospital_000__Person_0031,9,9,1.0
39,Hospital_000__Person_0032,11,11,1.0
40,Hospital_000__Person_0033,2,2,1.0
41,Hospital_000__Person_0033,6,6,1.0
42,Hospital_000__Person_0034,15,15,1.0
43,Hospital_000__Person_0035,11,11,1.0
44,Hospital_000__Person_0035,2,2,1.0
45,Hospital_000__Person_0036,14,14,1.0
46,Hospital_000__Person_0037,2,2,1.0
47,Hospital_000__Person_0037,2,4,0.5
47,Lab_000__Person_0001,2,4,0.5
48,Hospital_000__Person_0038,17,17,1.0
49,Hospital_000__Person_0039,11,11,1.0
50,Lab_000__Person_0001,2,2,1.0
51,Lab_000__Person_0002,4,4,1.0
52,Warehouse_015__Forklift_0182,5,9,0.5555555555555556
52,Warehouse_015__Forklift_0183,4,9,0.4444444444444444
53,Warehouse_015__NovaCarter_0229,10,10,1.0
54,Warehouse_015__Person_0000,10,10,1.0
55,Warehouse_015__Person_0001,8,8,1.0
56,Warehouse_015__Person_0002,11,11,1.0
57,Warehouse_015__Person_0003,11,11,1.0
58,Warehouse_015__Person_0004,9,9,1.0
59,Warehouse_015__Person_0005,8,8,1.0
60,Warehouse_015__Person_0006,9,18,0.5
60,Warehouse_015__Person_0220,9,18,0.5
61,Warehouse_015__Person_0008,9,9,1.0
62,Warehouse_015__Person_0009,10,27,0.37037037037037035
62,Warehouse_015__Person_0177,10,27,0.37037037037037035
62,Warehouse_015__Person_0233,7,27,0.25925925925925924
63,Warehouse_015__Person_0010,9,9,1.0
64,Warehouse_015__Person_0011,11,11,1.0
65,Warehouse_015__Person_0012,9,17,0.5294117647058824
65,Warehouse_015__Person_0013,8,17,0.47058823529411764
66,Warehouse_015__Person_0014,5,5,1.0
67,Warehouse_015__Person_0014,3,3,1.0
68,Warehouse_015__Person_0015,11,11,1.0
69,Warehouse_015__Person_0016,10,10,1.0
70,Warehouse_015__Person_0017,10,10,1.0
71,Warehouse_015__Person_0166,7,7,1.0
72,Warehouse_015__Person_0167,9,9,1.0
73,Warehouse_015__Person_0168,11,11,1.0
74,Warehouse_015__Person_0168,2,2,1.0
75,Warehouse_015__Person_0169,11,22,0.5
75,Warehouse_015__Person_0238,11,22,0.5
76,Warehouse_015__Person_0170,7,7,1.0
77,Warehouse_015__Person_0171,9,9,1.0
78,Warehouse_015__Person_0172,10,10,1.0
79,Warehouse_015__Person_0173,10,10,1.0
80,Warehouse_015__Person_0174,9,29,0.3103448275862069
80,Warehouse_015__Person_0197,10,29,0.3448275862068966
80,Warehouse_015__Person_0235,10,29,0.3448275862068966
81,Warehouse_015__Person_0175,10,10,1.0
82,Warehouse_015__Person_0176,10,10,1.0
83,Warehouse_015__Person_0178,6,6,1.0
84,Warehouse_015__Person_0179,8,8,1.0
85,Warehouse_015__Person_0180,9,9,1.0
86,Warehouse_015__Person_0181,10,10,1.0
87,Warehouse_015__Person_0184,2,2,1.0
88,Warehouse_015__Person_0185,11,11,1.0
89,Warehouse_015__Person_0186,8,8,1.0
90,Warehouse_015__Person_0187,8,8,1.0
91,Warehouse_015__Person_0188,9,9,1.0
92,Warehouse_015__Person_0189,8,8,1.0
93,Warehouse_015__Person_0190,11,11,1.0
94,Warehouse_015__Person_0191,9,28,0.32142857142857145
94,Warehouse_015__Person_0193,10,28,0.35714285714285715
94,Warehouse_015__Person_0239,9,28,0.32142857142857145
95,Warehouse_015__Person_0192,10,10,1.0
96,Warehouse_015__Person_0194,9,9,1.0
97,Warehouse_015__Person_0195,7,7,1.0
98,Warehouse_015__Person_0196,7,7,1.0
99,Warehouse_015__Person_0198,9,9,1.0
100,Warehouse_015__Person_0199,10,10,1.0
101,Warehouse_015__Person_0200,3,3,1.0
102,Warehouse_015__Person_0201,11,11,1.0
103,Warehouse_015__Person_0202,11,11,1.0
104,Warehouse_015__Person_0215,7,7,1.0
105,Warehouse_015__Person_0215,3,3,1.0
106,Warehouse_015__Person_0216,8,8,1.0
107,Warehouse_015__Person_0217,11,11,1.0
108,Warehouse_015__Person_0218,9,9,1.0
109,Warehouse_015__Person_0219,8,8,1.0
110,Warehouse_015__Person_0221,9,9,1.0
111,Warehouse_015__Person_0222,4,4,1.0
112,Warehouse_015__Person_0230,3,3,1.0
113,Warehouse_015__Person_0230,3,3,1.0
114,Warehouse_015__Person_0231,10,10,1.0
115,Warehouse_015__Person_0232,10,10,1.0
116,Warehouse_015__Person_0234,11,11,1.0
117,Warehouse_015__Person_0236,10,10,1.0
118,Warehouse_015__Person_0237,9,9,1.0
119,Warehouse_015__Person_0240,9,9,1.0
120,Warehouse_015__Person_0241,8,8,1.0
121,Warehouse_015__Person_0242,7,7,1.0
122,Warehouse_015__Transporter_0007,10,14,0.7142857142857143
122,Warehouse_016__Transporter_0349,4,14,0.2857142857142857
123,Warehouse_016__FourierGR1T2_0352,10,40,0.25
123,Warehouse_016__FourierGR1T2_0353,6,40,0.15
123,Warehouse_016__FourierGR1T2_0354,7,40,0.175
123,Warehouse_016__FourierGR1T2_0626,9,40,0.225
123,Warehouse_016__FourierGR1T2_0627,8,40,0.2
124,Warehouse_016__Person_0182,12,12,1.0
125,Warehouse_016__Person_0350,2,2,1.0
126,Warehouse_016__Person_0351,6,6,1.0
127,Warehouse_016__Person_0699,8,8,1.0
