query_index,query_id,query_camera,top1_index,top1_id,top1_camera,top1_score,top1_correct,ap
0,Hospital_000__Person_0000,Camera,574,Lab_000__Person_0000,Camera_0001,0.9564192891120911,0,0.6722050610208504
1,Hospital_000__Person_0000,Camera_03,8,Hospital_000__Person_0000,Camera_22,0.9890483021736145,1,0.8101237381601751
2,Hospital_000__Person_0000,Camera_04,0,Hospital_000__Person_0000,Camera,0.8387616276741028,1,0.5850040652443399
3,Hospital_000__Person_0000,Camera_05,10,Hospital_000__Person_0000,Camera_24,0.9913658499717712,1,0.7377836473811705
4,Hospital_000__Person_0000,Camera_06,1,Hospital_000__Person_0000,Camera_03,0.986293375492096,1,0.7938388415585367
5,Hospital_000__Person_0000,Camera_08,3,Hospital_000__Person_0000,Camera_05,0.9730225801467896,1,0.7131881276618117
6,Hospital_000__Person_0000,Camera_09,1,Hospital_000__Person_0000,Camera_03,0.9872105717658997,1,0.8323815073815073
7,Hospital_000__Person_0000,Camera_20,0,Hospital_000__Person_0000,Camera,0.9345769882202148,1,0.7347112765248036
8,Hospital_000__Person_0000,Camera_22,10,Hospital_000__Person_0000,Camera_24,0.9969991445541382,1,0.8047818578182948
9,Hospital_000__Person_0000,Camera_23,0,Hospital_000__Person_0000,Camera,0.9433392882347107,1,0.7174565541230222
10,Hospital_000__Person_0000,Camera_24,8,Hospital_000__Person_0000,Camera_22,0.9969991445541382,1,0.7974675908886435
11,Hospital_000__Person_0000,Camera_26,8,Hospital_000__Person_0000,Camera_22,0.9926129579544067,1,0.8031481676218517
12,Hospital_000__Person_0000,Camera_27,577,Lab_000__Person_0000,Camera_0004,0.9153586626052856,0,0.6128213468413516
13,Hospital_000__Person_0000,Camera_31,4,Hospital_000__Person_0000,Camera_06,0.9604091644287109,1,0.7922601907896025
14,Hospital_000__Person_0001,Camera_03,36,Hospital_000__Person_0002,Camera_21,0.8295202255249023,0,0.04495942916604547
15,Hospital_000__Person_0001,Camera_04,25,Hospital_000__Person_0001,Camera_29,0.9856084585189819,1,0.9281609195402298
16,Hospital_000__Person_0001,Camera_07,20,Hospital_000__Person_0001,Camera_21,0.9753715395927429,1,0.9345238095238096
