cluster_label,identity_key,count,cluster_total,ratio
0,Warehouse_015__NovaCarter_0229,10,10,1.0
1,Warehouse_015__Person_0234,12,12,1.0
2,Warehouse_015__Transporter_0007,11,18,0.6111111111111112
2,Warehouse_016__Transporter_0349,7,18,0.3888888888888889
3,Warehouse_015__Forklift_0182,6,12,0.5
3,Warehouse_015__Forklift_0183,6,12,0.5
4,Warehouse_015__Person_0176,10,10,1.0
5,Warehouse_015__Person_0237,9,9,1.0
6,Warehouse_015__Person_0241,8,8,1.0
7,Warehouse_015__Person_0240,9,9,1.0
8,Warehouse_015__Person_0190,13,13,1.0
9,Hospital_000__Person_0032,12,12,1.0
10,Warehouse_015__Person_0198,11,11,1.0
11,Warehouse_016__Person_0699,10,10,1.0
12,Warehouse_015__Person_0169,12,23,0.5217391304347826
12,Warehouse_015__Person_0238,11,23,0.4782608695652174
13,Hospital_000__Person_0010,13,13,1.0
14,Warehouse_015__Person_0242,8,8,1.0
15,Lab_000__Person_0002,9,9,1.0
16,Hospital_000__Person_0022,13,25,0.52
16,Warehouse_016__Person_0625,12,25,0.48
17,Hospital_000__Person_0028,13,13,1.0
18,Hospital_000__Person_0038,18,18,1.0
19,Hospital_000__Person_0007,13,13,1.0
20,Warehouse_015__Person_0170,7,7,1.0
21,Warehouse_015__Person_0217,11,11,1.0
22,Warehouse_015__Person_0196,11,11,1.0
23,Hospital_000__Person_0020,16,16,1.0
24,Warehouse_015__Person_0199,10,10,1.0
25,Hospital_000__Person_0036,15,15,1.0
26,Hospital_000__Person_0015,21,21,1.0
27,Hospital_000__Person_0008,18,19,0.9473684210526315
27,Warehouse_016__Person_0699,1,19,0.05263157894736842
28,Warehouse_015__Person_0005,10,10,1.0
29,Warehouse_015__Person_0185,11,11,1.0
30,Warehouse_015__Person_0200,4,4,1.0
31,Warehouse_015__Person_0219,8,8,1.0
32,Hospital_000__Person_0000,14,23,0.6086956521739131
32,Lab_000__Person_0000,9,23,0.391304347826087
33,Warehouse_015__Person_0011,11,11,1.0
34,Warehouse_015__Person_0017,12,12,1.0
35,Warehouse_015__Person_0171,10,10,1.0
36,Warehouse_015__Person_0173,10,10,1.0
37,Warehouse_015__Person_0216,8,8,1.0
38,Hospital_000__Person_0014,12,12,1.0
39,Hospital_000__Person_0034,16,16,1.0
40,Hospital_000__Person_0027,13,13,1.0
41,Warehouse_015__Person_0012,9,17,0.5294117647058824
41,Warehouse_015__Person_0013,8,17,0.47058823529411764
42,Warehouse_015__Person_0181,10,10,1.0
43,Warehouse_015__Person_0192,10,10,1.0
44,Warehouse_015__Person_0166,8,8,1.0
45,Hospital_000__Person_0001,12,12,1.0
46,Hospital_000__Person_0006,13,13,1.0
47,Warehouse_015__Person_0000,11,11,1.0
48,Hospital_000__Person_0018,16,28,0.5714285714285714
48,Warehouse_016__Person_0350,12,28,0.42857142857142855
