cluster_label,dominant_identity,dominant_count,cluster_total,num_real_ids,purity
84,Warehouse_016__FourierGR1T2_0352,12,56,5,0.21428571428571427
68,Warehouse_015__Person_0177,12,32,3,0.375
102,Warehouse_015__Person_0193,10,28,3,0.35714285714285715
48,Hospital_000__Person_0018,16,28,2,0.5714285714285714
67,Hospital_000__Person_0033,16,28,2,0.5714285714285714
16,Hospital_000__Person_0022,13,25,2,0.52
12,Warehouse_015__Person_0169,12,23,2,0.5217391304347826
32,Hospital_000__Person_0000,14,23,2,0.6086956521739131
78,Warehouse_015__Person_0232,11,20,2,0.55
27,Hospital_000__Person_0008,18,19,2,0.9473684210526315
2,Warehouse_015__Transporter_0007,11,18,2,0.6111111111111112
41,Warehouse_015__Person_0012,9,17,2,0.5294117647058824
56,Hospital_000__Person_0002,16,17,2,0.9411764705882353
87,Hospital_000__Person_0009,15,16,2,0.9375
49,Hospital_000__Person_0011,13,14,2,0.9285714285714286
3,Warehouse_015__Forklift_0182,6,12,2,0.5
62,Warehouse_015__Person_0202,11,12,2,0.9166666666666666
91,Lab_000__Person_0001,8,12,2,0.6666666666666666
95,Warehouse_015__Person_0180,10,12,2,0.8333333333333334
111,Warehouse_015__Person_0006,9,10,2,0.9
