num_crops,global_id,identity_key,label,true_label,camera,camera_id,scene,object_type,is_occluded,occluded_crop_ratio,start_frame,end_frame,example_crop_path,track_id,cluster_label,cluster_as_identity,cluster_purity,is_noise,is_misclustered
1,Person_0001,Hospital_000__Person_0001,1,1,Camera_03,13,Hospital_000,Person,0,0.0,6720,6720,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_03/Person_0001_Camera_03_f006720_r005.jpg,None,-1,NOISE,0.0,True,False
12,Person_0002,Hospital_000__Person_0002,2,2,Camera,0,Hospital_000,Person,1,0.6666666666666666,0,90,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0002/Camera/Person_0002_Camera_f000000_r000.jpg,None,-1,NOISE,0.0,True,False
7,Person_0003,Hospital_000__Person_0003,3,3,Camera_20,30,Hospital_000,Person,1,0.5714285714285714,1080,2730,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0003/Camera_20/Person_0003_Camera_20_f001080_r001.jpg,None,-1,NOISE,0.0,True,False
10,Person_0004,Hospital_000__Person_0004,4,4,Camera_04,14,Hospital_000,Person,0,0.0,1530,8550,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0004/Camera_04/Person_0004_Camera_04_f001530_r001.jpg,None,-1,NOISE,0.0,True,False
251,Person_0004,Hospital_000__Person_0004,4,4,Camera_19,29,Hospital_000,Person,1,0.6454183266932271,150,7500,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0004/Camera_19/Person_0004_Camera_19_f000150_r001.jpg,None,-1,NOISE,0.0,True,False
12,Person_0007,Hospital_000__Person_0007,7,7,Camera_19,29,Hospital_000,Person,1,0.6666666666666666,120,210,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0007/Camera_19/Person_0007_Camera_19_f000120_r005.jpg,None,-1,NOISE,0.0,True,False
1,Person_0007,Hospital_000__Person_0007,7,7,Camera_23,33,Hospital_000,Person,0,0.0,4740,4740,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0007/Camera_23/Person_0007_Camera_23_f004740_r007.jpg,None,-1,NOISE,0.0,True,False
21,Person_0007,Hospital_000__Person_0007,7,7,Camera_31,41,Hospital_000,Person,1,0.6666666666666666,4470,4650,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0007/Camera_31/Person_0007_Camera_31_f004470_r002.jpg,None,-1,NOISE,0.0,True,False
813,Person_0012,Hospital_000__Person_0012,12,12,Camera_05,15,Hospital_000,Person,1,0.6666666666666666,90,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0012/Camera_05/Person_0012_Camera_05_f000090_r003.jpg,None,-1,NOISE,0.0,True,False
9,Person_0012,Hospital_000__Person_0012,12,12,Camera_08,18,Hospital_000,Person,1,0.2222222222222222,480,2760,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0012/Camera_08/Person_0012_Camera_08_f000480_r001.jpg,None,-1,NOISE,0.0,True,False
27,Person_0012,Hospital_000__Person_0012,12,12,Camera_14,24,Hospital_000,Person,1,0.6666666666666666,1170,1410,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0012/Camera_14/Person_0012_Camera_14_f001170_r001.jpg,None,-1,NOISE,0.0,True,False
9,Person_0012,Hospital_000__Person_0012,12,12,Camera_26,36,Hospital_000,Person,1,0.6666666666666666,30,90,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0012/Camera_26/Person_0012_Camera_26_f000030_r001.jpg,None,-1,NOISE,0.0,True,False
4,Person_0012,Hospital_000__Person_0012,12,12,Camera_27,37,Hospital_000,Person,0,0.0,480,3240,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0012/Camera_27/Person_0012_Camera_27_f000480_r000.jpg,None,-1,NOISE,0.0,True,False
6,Person_0013,Hospital_000__Person_0013,13,13,Camera_04,14,Hospital_000,Person,0,0.0,3300,8010,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0013/Camera_04/Person_0013_Camera_04_f003300_r004.jpg,None,-1,NOISE,0.0,True,False
6,Person_0013,Hospital_000__Person_0013,13,13,Camera_23,33,Hospital_000,Person,0,0.0,3660,8250,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0013/Camera_23/Person_0013_Camera_23_f003660_r004.jpg,None,-1,NOISE,0.0,True,False
4,Person_0013,Hospital_000__Person_0013,13,13,Camera_25,35,Hospital_000,Person,0,0.0,4560,6600,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0013/Camera_25/Person_0013_Camera_25_f004560_r002.jpg,None,-1,NOISE,0.0,True,False
48,Person_0013,Hospital_000__Person_0013,13,13,Camera_28,38,Hospital_000,Person,1,0.6666666666666666,4950,5400,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0013/Camera_28/Person_0013_Camera_28_f004950_r002.jpg,None,-1,NOISE,0.0,True,False
6,Person_0015,Hospital_000__Person_0015,15,15,Camera_10,20,Hospital_000,Person,1,0.6666666666666666,1830,1860,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0015/Camera_10/Person_0015_Camera_10_f001830_r002.jpg,None,-1,NOISE,0.0,True,False
2,Person_0015,Hospital_000__Person_0015,15,15,Camera_25,35,Hospital_000,Person,0,0.0,390,960,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0015/Camera_25/Person_0015_Camera_25_f000390_r001.jpg,None,-1,NOISE,0.0,True,False
