num_crops,global_id,identity_key,label,true_label,camera,camera_id,scene,object_type,is_occluded,occluded_crop_ratio,start_frame,end_frame,example_crop_path,track_id,cluster_label,cluster_as_identity,cluster_purity,is_noise,is_misclustered,x,y,x3d,y3d,z3d
61,Person_0000,Hospital_000__Person_0000,0,0,Camera,0,Hospital_000,Person,1,0.4918032786885246,0,4200,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera/Person_0000_Camera_f000000_r003.jpg,None,32,Hospital_000__Person_0000,0.6086956521739131,False,False,0.6922187,-0.22563675,0.6922177,-0.22563693,-0.04275182
336,Person_0000,Hospital_000__Person_0000,0,0,Camera_03,13,Hospital_000,Person,1,0.6666666666666666,0,7950,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_03/Person_0000_Camera_03_f000000_r006.jpg,None,32,Hospital_000__Person_0000,0.6086956521739131,False,False,0.4688178,-0.24719843,0.46881777,-0.2472024,-0.06518604
3,Person_0000,Hospital_000__Person_0000,0,0,Camera_04,14,Hospital_000,Person,0,0.0,270,5850,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_04/Person_0000_Camera_04_f000270_r003.jpg,None,32,Hospital_000__Person_0000,0.6086956521739131,False,False,0.7535086,-0.1597724,0.7535083,-0.15976542,-0.1068962
447,Person_0000,Hospital_000__Person_0000,0,0,Camera_05,15,Hospital_000,Person,1,0.6532438478747203,300,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_05/Person_0000_Camera_05_f000300_r003.jpg,None,32,Hospital_000__Person_0000,0.6086956521739131,False,False,0.5929569,-0.21499136,0.5929566,-0.2150002,-0.02038855
736,Person_0000,Hospital_000__Person_0000,0,0,Camera_06,16,Hospital_000,Person,1,0.6657608695652174,0,8940,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_06/Person_0000_Camera_06_f000000_r004.jpg,None,32,Hospital_000__Person_0000,0.6086956521739131,False,False,0.39019635,-0.24521561,0.3901963,-0.245219,-0.031806123
291,Person_0000,Hospital_000__Person_0000,0,0,Camera_08,18,Hospital_000,Person,1,0.4329896907216495,270,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_08/Person_0000_Camera_08_f000270_r003.jpg,None,32,Hospital_000__Person_0000,0.6086956521739131,False,False,0.6195451,-0.24002749,0.619545,-0.24004428,0.008374234
875,Person_0000,Hospital_000__Person_0000,0,0,Camera_09,19,Hospital_000,Person,1,0.6651428571428571,150,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_09/Person_0000_Camera_09_f000150_r005.jpg,None,32,Hospital_000__Person_0000,0.6086956521739131,False,False,0.45484957,-0.2926327,0.4548496,-0.29263636,-0.058810934
11,Person_0000,Hospital_000__Person_0000,0,0,Camera_20,30,Hospital_000,Person,1,0.5454545454545454,1020,4230,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_20/Person_0000_Camera_20_f001020_r003.jpg,None,32,Hospital_000__Person_0000,0.6086956521739131,False,False,0.6416352,-0.13762559,0.64163464,-0.13762093,-0.24391596
756,Person_0000,Hospital_000__Person_0000,0,0,Camera_22,32,Hospital_000,Person,1,0.6613756613756614,210,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_22/Person_0000_Camera_22_f000210_r004.jpg,None,32,Hospital_000__Person_0000,0.6086956521739131,False,False,0.51728547,-0.2415925,0.51728547,-0.24159956,-0.031545877
2,Person_0000,Hospital_000__Person_0000,0,0,Camera_23,33,Hospital_000,Person,0,0.0,3660,4200,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_23/Person_0000_Camera_23_f003660_r006.jpg,None,32,Hospital_000__Person_0000,0.6086956521739131,False,False,0.6627007,-0.20481119,0.6627007,-0.20480438,-0.083038
805,Person_0000,Hospital_000__Person_0000,0,0,Camera_24,34,Hospital_000,Person,1,0.6658385093167701,0,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_24/Person_0000_Camera_24_f000000_r011.jpg,None,32,Hospital_000__Person_0000,0.6086956521739131,False,False,0.5372337,-0.23276688,0.53723377,-0.23277435,-0.028136874
738,Person_0000,Hospital_000__Person_0000,0,0,Camera_26,36,Hospital_000,Person,1,0.6666666666666666,240,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_26/Person_0000_Camera_26_f000240_r003.jpg,None,32,Hospital_000__Person_0000,0.6086956521739131,False,False,0.4863855,-0.2579516,0.48638573,-0.2579623,-0.025172736
105,Person_0000,Hospital_000__Person_0000,0,0,Camera_27,37,Hospital_000,Person,1,0.05714285714285714,270,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_27/Person_0000_Camera_27_f000270_r002.jpg,None,32,Hospital_000__Person_0000,0.6086956521739131,False,False,0.69869703,-0.22188674,0.69869673,-0.22190076,0.025230912
57,Person_0000,Hospital_000__Person_0000,0,0,Camera_31,41,Hospital_000,Person,1,0.6666666666666666,0,4140,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_31/Person_0000_Camera_31_f000000_r002.jpg,None,32,Hospital_000__Person_0000,0.6086956521739131,False,False,0.32227653,-0.26546636,0.3222766,-0.265473,-0.039385717
1,Person_0001,Hospital_000__Person_0001,1,1,Camera_03,13,Hospital_000,Person,0,0.0,6720,6720,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_03/Person_0001_Camera_03_f006720_r005.jpg,None,-1,NOISE,0.0,True,False,0.60622084,-0.11160485,0.6062205,-0.11158552,-0.23547362
325,Person_0001,Hospital_000__Person_0001,1,1,Camera_04,14,Hospital_000,Person,1,0.6646153846153846,150,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_04/Person_0001_Camera_04_f000150_r002.jpg,None,45,Hospital_000__Person_0001,1.0,False,False,0.48810518,-0.46683303,0.48810512,-0.46682566,-0.10987762
115,Person_0001,Hospital_000__Person_0001,1,1,Camera_07,17,Hospital_000,Person,1,0.5565217391304348,210,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_07/Person_0001_Camera_07_f000210_r000.jpg,None,45,Hospital_000__Person_0001,1.0,False,False,0.5528107,-0.42001843,0.5528102,-0.42000526,-0.13608979
414,Person_0001,Hospital_000__Person_0001,1,1,Camera_10,20,Hospital_000,Person,1,0.6666666666666666,0,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_10/Person_0001_Camera_10_f000000_r001.jpg,None,45,Hospital_000__Person_0001,1.0,False,False,0.37639782,-0.46704125,0.37639776,-0.4670435,-0.038767625
561,Person_0001,Hospital_000__Person_0001,1,1,Camera_16,26,Hospital_000,Person,1,0.6666666666666666,0,8460,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_16/Person_0001_Camera_16_f000000_r001.jpg,None,45,Hospital_000__Person_0001,1.0,False,False,0.36586022,-0.5098619,0.36586016,-0.5098575,-0.077071995
8,Person_0001,Hospital_000__Person_0001,1,1,Camera_19,29,Hospital_000,Person,0,0.0,4800,8850,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_19/Person_0001_Camera_19_f004800_r002.jpg,None,45,Hospital_000__Person_0001,1.0,False,False,0.6971872,-0.41715956,0.6971868,-0.41714108,-0.10502486
697,Person_0001,Hospital_000__Person_0001,1,1,Camera_21,31,Hospital_000,Person,1,0.6140602582496413,0,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_21/Person_0001_Camera_21_f000000_r002.jpg,None,45,Hospital_000__Person_0001,1.0,False,False,0.53759277,-0.4367312,0.5375924,-0.43672523,-0.12852764
275,Person_0001,Hospital_000__Person_0001,1,1,Camera_23,33,Hospital_000,Person,1,0.6545454545454545,0,6750,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_23/Person_0001_Camera_23_f000000_r004.jpg,None,45,Hospital_000__Person_0001,1.0,False,False,0.47487605,-0.46305838,0.47487572,-0.46305567,-0.12473988
7,Person_0001,Hospital_000__Person_0001,1,1,Camera_24,34,Hospital_000,Person,0,0.0,420,6720,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_24/Person_0001_Camera_24_f000420_r008.jpg,None,45,Hospital_000__Person_0001,1.0,False,False,0.7217969,-0.3449217,0.7217967,-0.3449006,-0.13355462
144,Person_0001,Hospital_000__Person_0001,1,1,Camera_25,35,Hospital_000,Person,1,0.6666666666666666,3360,6720,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_25/Person_0001_Camera_25_f003360_r001.jpg,None,45,Hospital_000__Person_0001,1.0,False,False,0.47709668,-0.45959774,0.47709644,-0.4595982,-0.08631132
82,Person_0001,Hospital_000__Person_0001,1,1,Camera_28,38,Hospital_000,Person,1,0.14634146341463414,420,7470,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_28/Person_0001_Camera_28_f000420_r003.jpg,None,45,Hospital_000__Person_0001,1.0,False,False,0.58632505,-0.4265268,0.58632463,-0.42651334,-0.13764031
589,Person_0001,Hospital_000__Person_0001,1,1,Camera_29,39,Hospital_000,Person,1,0.66553480475382,90,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_29/Person_0001_Camera_29_f000090_r001.jpg,None,45,Hospital_000__Person_0001,1.0,False,False,0.4435275,-0.47685626,0.44352725,-0.4768518,-0.09794465
69,Person_0001,Hospital_000__Person_0001,1,1,Camera_30,40,Hospital_000,Person,1,0.6666666666666666,5670,6630,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_30/Person_0001_Camera_30_f005670_r002.jpg,None,45,Hospital_000__Person_0001,1.0,False,False,0.34812278,-0.46345648,0.34812275,-0.46346834,-0.04514676
12,Person_0002,Hospital_000__Person_0002,2,2,Camera,0,Hospital_000,Person,1,0.6666666666666666,0,90,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0002/Camera/Person_0002_Camera_f000000_r000.jpg,None,-1,NOISE,0.0,True,False,-0.09199947,-0.07969629,-0.091999345,-0.07971299,-0.029450983
293,Person_0002,Hospital_000__Person_0002,2,2,Camera_03,13,Hospital_000,Person,1,0.6075085324232082,1440,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0002/Camera_03/Person_0002_Camera_03_f001440_r000.jpg,None,56,Hospital_000__Person_0002,0.9411764705882353,False,False,0.6410891,-0.024527496,0.64108896,-0.024529012,-0.0059161102
303,Person_0002,Hospital_000__Person_0002,2,2,Camera_04,14,Hospital_000,Person,1,0.5478547854785478,480,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0002/Camera_04/Person_0002_Camera_04_f000480_r000.jpg,None,56,Hospital_000__Person_0002,0.9411764705882353,False,False,0.68037605,0.010129797,0.68037593,0.0101308115,-0.016808676
178,Person_0002,Hospital_000__Person_0002,2,2,Camera_05,15,Hospital_000,Person,1,0.5617977528089888,3780,8850,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0002/Camera_05/Person_0002_Camera_05_f003780_r000.jpg,None,56,Hospital_000__Person_0002,0.9411764705882353,False,False,0.6129588,-0.05374519,0.6129587,-0.053751748,-0.0419204
30,Person_0002,Hospital_000__Person_0002,2,2,Camera_07,17,Hospital_000,Person,1,0.6666666666666666,510,780,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0002/Camera_07/Person_0002_Camera_07_f000510_r000.jpg,None,56,Hospital_000__Person_0002,0.9411764705882353,False,False,0.59438115,0.0065606413,0.59438086,0.006564669,-0.10089223
