cluster_label,identity_key,count,cluster_total,ratio
0,Hospital_000__Person_0018,1,3,0.3333333333333333
0,Hospital_000__Person_0035,1,3,0.3333333333333333
0,Warehouse_015__Person_0016,1,3,0.3333333333333333
1,Warehouse_015__NovaCarter_0229,9,9,1.0
2,Hospital_000__Person_0018,1,4,0.25
2,Hospital_000__Person_0019,1,4,0.25
2,Hospital_000__Person_0033,1,4,0.25
2,Hospital_000__Person_0038,1,4,0.25
3,Hospital_000__Person_0000,1,3,0.3333333333333333
3,Hospital_000__Person_0004,2,3,0.6666666666666666
4,Warehouse_015__Forklift_0182,1,6,0.16666666666666666
4,Warehouse_015__Forklift_0183,5,6,0.8333333333333334
5,Warehouse_015__Person_0189,1,13,0.07692307692307693
5,Warehouse_015__Transporter_0007,10,13,0.7692307692307693
5,Warehouse_016__Transporter_0349,2,13,0.15384615384615385
6,Warehouse_015__Person_0191,1,3,0.3333333333333333
6,Warehouse_015__Person_0193,1,3,0.3333333333333333
6,Warehouse_015__Person_0239,1,3,0.3333333333333333
7,Lab_000__Person_0002,3,3,1.0
8,Warehouse_016__Person_0699,9,9,1.0
9,Hospital_000__Person_0030,3,3,1.0
10,Warehouse_015__Person_0179,2,3,0.6666666666666666
10,Warehouse_015__Person_0231,1,3,0.3333333333333333
11,Hospital_000__Person_0036,14,14,1.0
12,Hospital_000__Person_0037,4,9,0.4444444444444444
12,Lab_000__Person_0001,3,9,0.3333333333333333
12,Warehouse_015__Person_0230,2,9,0.2222222222222222
13,Hospital_000__Person_0008,16,16,1.0
14,Hospital_000__Person_0022,10,19,0.5263157894736842
14,Warehouse_016__Person_0625,9,19,0.47368421052631576
15,Hospital_000__Person_0002,3,3,1.0
16,Warehouse_015__Person_0005,9,9,1.0
17,Warehouse_015__Person_0185,8,8,1.0
18,Warehouse_015__Person_0199,9,9,1.0
19,Hospital_000__Person_0017,11,22,0.5
19,Warehouse_015__Person_0202,11,22,0.5
20,Hospital_000__Person_0010,3,3,1.0
21,Hospital_000__Person_0024,4,4,1.0
22,Warehouse_015__Person_0242,4,4,1.0
23,Warehouse_016__FourierGR1T2_0352,6,30,0.2
23,Warehouse_016__FourierGR1T2_0353,5,30,0.16666666666666666
23,Warehouse_016__FourierGR1T2_0354,6,30,0.2
23,Warehouse_016__FourierGR1T2_0626,6,30,0.2
23,Warehouse_016__FourierGR1T2_0627,7,30,0.23333333333333334
24,Warehouse_016__FourierGR1T2_0352,2,6,0.3333333333333333
24,Warehouse_016__FourierGR1T2_0354,2,6,0.3333333333333333
24,Warehouse_016__FourierGR1T2_0626,1,6,0.16666666666666666
24,Warehouse_016__FourierGR1T2_0627,1,6,0.16666666666666666
25,Warehouse_016__FourierGR1T2_0352,1,6,0.16666666666666666
25,Warehouse_016__FourierGR1T2_0353,1,6,0.16666666666666666
25,Warehouse_016__FourierGR1T2_0626,1,6,0.16666666666666666
25,Warehouse_016__FourierGR1T2_0627,1,6,0.16666666666666666
25,Warehouse_016__Person_0182,1,6,0.16666666666666666
