identity_key,num_clusters_for_id,assigned_count,noise_count,is_fragmented
Hospital_000__Person_0033,4,11,8,True
Hospital_000__Person_0000,4,9,5,True
Hospital_000__Person_0038,3,8,11,True
Hospital_000__Person_0039,3,8,8,True
Warehouse_015__Person_0177,3,5,7,True
Hospital_000__Person_0019,3,10,6,True
Warehouse_015__Person_0231,3,6,6,True
Hospital_000__Person_0018,3,12,5,True
Hospital_000__Person_0035,3,11,5,True
Hospital_000__Person_0016,3,9,4,True
Warehouse_016__FourierGR1T2_0626,3,8,4,True
Warehouse_016__FourierGR1T2_0352,3,9,3,True
Hospital_000__Person_0004,3,11,2,True
Warehouse_016__FourierGR1T2_0627,3,9,2,True
Hospital_000__Person_0024,3,8,2,True
Warehouse_015__Person_0238,2,3,8,True
Hospital_000__Person_0003,2,9,7,True
Hospital_000__Person_0007,2,9,7,True
Hospital_000__Person_0009,2,8,7,True
Warehouse_016__Person_0182,2,5,7,True
Hospital_000__Person_0002,2,11,6,True
Hospital_000__Person_0013,2,10,6,True
Hospital_000__Person_0028,2,8,6,True
Hospital_000__Person_0029,2,8,6,True
Hospital_000__Person_0001,2,7,6,True
Warehouse_016__Person_0350,2,6,6,True
Warehouse_015__Person_0009,2,5,6,True
Warehouse_015__Person_0239,2,4,6,True
Hospital_000__Person_0034,2,11,5,True
Hospital_000__Person_0027,2,9,5,True
Warehouse_015__Person_0171,2,7,5,True
Warehouse_015__Person_0193,2,6,5,True
Warehouse_016__FourierGR1T2_0353,2,6,5,True
Warehouse_015__Person_0013,2,5,5,True
Warehouse_015__Person_0233,2,4,5,True
Hospital_000__Person_0011,2,9,4,True
Warehouse_015__Person_0172,2,8,4,True
Hospital_000__Person_0030,2,7,4,True
Warehouse_015__Person_0191,2,7,4,True
Warehouse_015__Person_0189,2,5,4,True
Hospital_000__Person_0010,2,10,3,True
Hospital_000__Person_0026,2,10,3,True
Warehouse_016__FourierGR1T2_0354,2,8,3,True
Warehouse_015__Person_0188,2,7,3,True
Warehouse_015__Person_0014,2,6,3,True
Hospital_000__Person_0006,2,11,2,True
Hospital_000__Person_0014,2,10,2,True
Warehouse_015__Person_0006,2,9,2,True
Warehouse_015__Person_0179,2,7,2,True
Warehouse_015__Person_0176,2,9,1,True
Warehouse_015__Person_0174,1,1,11,False
Warehouse_015__Person_0016,1,1,10,False
Hospital_000__Person_0023,1,8,9,False
Warehouse_015__Person_0003,1,3,9,False
Warehouse_015__Person_0008,1,3,9,False
Warehouse_015__Person_0170,1,2,8,False
Warehouse_015__Person_0166,1,1,8,False
Hospital_000__Person_0015,1,16,7,False
Warehouse_015__Person_0217,1,6,7,False
Warehouse_015__Person_0011,1,4,7,False
Warehouse_015__Person_0196,1,4,7,False
Warehouse_015__Person_0197,1,4,7,False
Lab_000__Person_0001,1,3,7,False
Lab_000__Person_0002,1,3,7,False
Warehouse_016__Person_0351,1,3,7,False
Warehouse_015__Person_0178,1,1,7,False
Warehouse_015__Person_0195,1,1,7,False
Warehouse_015__Person_0168,1,7,6,False
Hospital_000__Person_0032,1,6,6,False
Warehouse_015__Person_0017,1,6,6,False
Warehouse_015__Person_0000,1,5,6,False
Hospital_000__Person_0025,1,11,5,False
Hospital_000__Person_0021,1,9,5,False
Warehouse_015__Person_0190,1,8,5,False
Warehouse_015__Person_0215,1,8,5,False
Warehouse_015__Person_0015,1,7,5,False
Warehouse_015__Person_0201,1,7,5,False
Warehouse_015__Person_0221,1,6,5,False
Warehouse_015__Person_0167,1,5,5,False
Warehouse_015__Person_0186,1,5,5,False
Warehouse_015__Person_0218,1,5,5,False
Warehouse_015__Person_0220,1,5,5,False
Warehouse_015__Person_0001,1,4,5,False
Warehouse_015__Person_0219,1,3,5,False
Warehouse_015__Person_0222,1,2,5,False
Warehouse_016__Transporter_0349,1,2,5,False
Warehouse_015__Forklift_0182,1,1,5,False
Warehouse_015__Person_0200,1,1,5,False
Hospital_000__Person_0031,1,9,4,False
Warehouse_015__Person_0175,1,8,4,False
Warehouse_015__Person_0216,1,6,4,False
Hospital_000__Person_0005,1,5,4,False
Warehouse_015__Person_0242,1,4,4,False
Warehouse_015__Person_0230,1,2,4,False
Hospital_000__Person_0022,1,10,3,False
Warehouse_015__Person_0169,1,9,3,False
Warehouse_016__Person_0625,1,9,3,False
Warehouse_015__Person_0173,1,8,3,False
Warehouse_015__Person_0185,1,8,3,False
Warehouse_015__Person_0232,1,8,3,False
Warehouse_015__Person_0235,1,8,3,False
Warehouse_015__Person_0181,1,7,3,False
Warehouse_015__Person_0194,1,7,3,False
Warehouse_015__Person_0010,1,6,3,False
Warehouse_015__Person_0012,1,6,3,False
Hospital_000__Person_0008,1,16,2,False
Hospital_000__Person_0020,1,14,2,False
Warehouse_015__Person_0234,1,10,2,False
Warehouse_015__Person_0004,1,9,2,False
Warehouse_015__Person_0005,1,9,2,False
Warehouse_015__Person_0236,1,9,2,False
Warehouse_016__Person_0699,1,9,2,False
Warehouse_015__Person_0180,1,8,2,False
Warehouse_015__Person_0237,1,7,2,False
Warehouse_015__Person_0241,1,6,2,False
Hospital_000__Person_0036,1,14,1,False
Warehouse_015__Person_0202,1,11,1,False
Warehouse_015__Transporter_0007,1,10,1,False
Warehouse_015__NovaCarter_0229,1,9,1,False
Warehouse_015__Person_0192,1,9,1,False
Warehouse_015__Person_0199,1,9,1,False
Warehouse_015__Forklift_0183,1,5,1,False
Hospital_000__Person_0017,1,11,0,False
Warehouse_015__Person_0198,1,11,0,False
Hospital_000__Person_0037,1,4,0,False
