cluster_label,dominant_identity,dominant_count,cluster_total,num_real_ids,purity
25,Warehouse_016__FourierGR1T2_0352,1,6,6,0.16666666666666666
23,Warehouse_016__FourierGR1T2_0627,7,30,5,0.23333333333333334
113,Warehouse_015__Person_0004,9,16,4,0.5625
116,Warehouse_015__Person_0235,8,14,4,0.5714285714285714
24,Warehouse_016__FourierGR1T2_0352,2,6,4,0.3333333333333333
2,Hospital_000__Person_0018,1,4,4,0.25
78,Hospital_000__Person_0019,1,4,4,0.25
106,Warehouse_015__Person_0173,8,16,3,0.5
119,Warehouse_015__Person_0191,6,14,3,0.42857142857142855
5,Warehouse_015__Transporter_0007,10,13,3,0.7692307692307693
83,Hospital_000__Person_0005,5,11,3,0.45454545454545453
61,Warehouse_015__Person_0232,8,10,3,0.8
115,Warehouse_015__Person_0168,7,10,3,0.7
12,Hospital_000__Person_0037,4,9,3,0.4444444444444444
117,Warehouse_015__Person_0009,4,9,3,0.4444444444444444
70,Hospital_000__Person_0011,3,6,3,0.5
118,Warehouse_015__Person_0177,2,4,3,0.5
0,Hospital_000__Person_0018,1,3,3,0.3333333333333333
6,Warehouse_015__Person_0191,1,3,3,0.3333333333333333
37,Hospital_000__Person_0004,1,3,3,0.3333333333333333
19,Hospital_000__Person_0017,11,22,2,0.5
14,Hospital_000__Person_0022,10,19,2,0.5263157894736842
45,Hospital_000__Person_0020,14,15,2,0.9333333333333333
77,Warehouse_015__Person_0006,8,13,2,0.6153846153846154
112,Warehouse_015__Person_0194,7,13,2,0.5384615384615384
68,Hospital_000__Person_0025,11,12,2,0.9166666666666666
53,Warehouse_015__Person_0169,9,11,2,0.8181818181818182
96,Hospital_000__Person_0003,8,10,2,0.8
109,Warehouse_015__Person_0012,6,10,2,0.6
104,Warehouse_015__Person_0190,8,9,2,0.8888888888888888
114,Warehouse_015__Person_0167,5,9,2,0.5555555555555556
72,Hospital_000__Person_0011,6,7,2,0.8571428571428571
4,Warehouse_015__Forklift_0183,5,6,2,0.8333333333333334
105,Warehouse_015__Person_0008,3,4,2,0.75
3,Hospital_000__Person_0004,2,3,2,0.6666666666666666
10,Warehouse_015__Person_0179,2,3,2,0.6666666666666666
27,Hospital_000__Person_0014,2,3,2,0.6666666666666666
44,Hospital_000__Person_0028,2,3,2,0.6666666666666666
59,Warehouse_015__Person_0170,2,3,2,0.6666666666666666
62,Hospital_000__Person_0035,2,3,2,0.6666666666666666
97,Hospital_000__Person_0024,2,3,2,0.6666666666666666
