num_crops,global_id,identity_key,label,true_label,camera,camera_id,scene,object_type,is_occluded,occluded_crop_ratio,start_frame,end_frame,example_crop_path,track_id,cluster_label,cluster_as_identity,cluster_purity,is_noise,is_misclustered,x,y,x3d,y3d,z3d
61,Person_0000,Hospital_000__Person_0000,0,0,Camera,0,Hospital_000,Person,1,0.4918032786885246,0,4200,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera/Person_0000_Camera_f000000_r003.jpg,None,83,Hospital_000__Person_0005,0.45454545454545453,False,True,0.10296695,0.048794314,0.10296579,0.048794232,0.026284436
336,Person_0000,Hospital_000__Person_0000,0,0,Camera_03,13,Hospital_000,Person,1,0.6666666666666666,0,7950,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_03/Person_0000_Camera_03_f000000_r006.jpg,None,87,Hospital_000__Person_0000,1.0,False,False,-0.0130760325,-0.03640674,-0.013076206,-0.036407195,0.22075647
3,Person_0000,Hospital_000__Person_0000,0,0,Camera_04,14,Hospital_000,Person,0,0.0,270,5850,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_04/Person_0000_Camera_04_f000270_r003.jpg,None,-1,NOISE,0.0,True,False,0.037471376,0.04242611,0.037471555,0.042426307,-0.0019901935
447,Person_0000,Hospital_000__Person_0000,0,0,Camera_05,15,Hospital_000,Person,1,0.6532438478747203,300,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_05/Person_0000_Camera_05_f000300_r003.jpg,None,87,Hospital_000__Person_0000,1.0,False,False,0.06561142,-0.034690954,0.06561112,-0.03469165,0.096567705
736,Person_0000,Hospital_000__Person_0000,0,0,Camera_06,16,Hospital_000,Person,1,0.6657608695652174,0,8940,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_06/Person_0000_Camera_06_f000000_r004.jpg,None,86,Hospital_000__Person_0000,1.0,False,False,0.09058655,-0.068359725,0.09058624,-0.06836028,0.08029212
291,Person_0000,Hospital_000__Person_0000,0,0,Camera_08,18,Hospital_000,Person,1,0.4329896907216495,270,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_08/Person_0000_Camera_08_f000270_r003.jpg,None,-1,NOISE,0.0,True,False,0.11981093,-0.025064725,0.11981097,-0.025065286,-0.056276772
875,Person_0000,Hospital_000__Person_0000,0,0,Camera_09,19,Hospital_000,Person,1,0.6651428571428571,150,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_09/Person_0000_Camera_09_f000150_r005.jpg,None,86,Hospital_000__Person_0000,1.0,False,False,0.110117875,0.0046266597,0.110117584,0.004626106,0.076883614
11,Person_0000,Hospital_000__Person_0000,0,0,Camera_20,30,Hospital_000,Person,1,0.5454545454545454,1020,4230,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_20/Person_0000_Camera_20_f001020_r003.jpg,None,-1,NOISE,0.0,True,False,0.019414324,-0.07639947,0.019414287,-0.076400205,0.04299444
756,Person_0000,Hospital_000__Person_0000,0,0,Camera_22,32,Hospital_000,Person,1,0.6613756613756614,210,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_22/Person_0000_Camera_22_f000210_r004.jpg,None,87,Hospital_000__Person_0000,1.0,False,False,0.022765502,-0.031684633,0.022765141,-0.031685438,0.17124894
2,Person_0000,Hospital_000__Person_0000,0,0,Camera_23,33,Hospital_000,Person,0,0.0,3660,4200,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_23/Person_0000_Camera_23_f003660_r006.jpg,None,-1,NOISE,0.0,True,False,-0.09425965,0.113743395,-0.094259694,0.11374332,0.053728588
805,Person_0000,Hospital_000__Person_0000,0,0,Camera_24,34,Hospital_000,Person,1,0.6658385093167701,0,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_24/Person_0000_Camera_24_f000000_r011.jpg,None,87,Hospital_000__Person_0000,1.0,False,False,0.0010137985,-0.034387015,0.0010134868,-0.034387898,0.18614018
738,Person_0000,Hospital_000__Person_0000,0,0,Camera_26,36,Hospital_000,Person,1,0.6666666666666666,240,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_26/Person_0000_Camera_26_f000240_r003.jpg,None,86,Hospital_000__Person_0000,1.0,False,False,0.12248055,-0.07319709,0.12248022,-0.07319775,0.09792637
105,Person_0000,Hospital_000__Person_0000,0,0,Camera_27,37,Hospital_000,Person,1,0.05714285714285714,270,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_27/Person_0000_Camera_27_f000270_r002.jpg,None,3,Hospital_000__Person_0004,0.6666666666666666,False,True,-0.27430063,-0.07517634,-0.2743009,-0.07517648,0.0021217251
57,Person_0000,Hospital_000__Person_0000,0,0,Camera_31,41,Hospital_000,Person,1,0.6666666666666666,0,4140,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0000/Camera_31/Person_0000_Camera_31_f000000_r002.jpg,None,-1,NOISE,0.0,True,False,-0.20077793,0.03996776,-0.20077834,0.039966665,0.21983954
1,Person_0001,Hospital_000__Person_0001,1,1,Camera_03,13,Hospital_000,Person,0,0.0,6720,6720,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0001/Camera_03/Person_0001_Camera_03_f006720_r005.jpg,None,-1,NOISE,0.0,True,False,-0.34541726,-0.12246961,-0.34541693,-0.12247026,-0.19360572
