cluster_label,identity_key,count,cluster_total,ratio
0,Hospital_000__Person_0000,1,2,0.5
0,Hospital_000__Person_0034,1,2,0.5
1,Hospital_000__Person_0000,7,7,1.0
2,Hospital_000__Person_0001,2,2,1.0
3,Hospital_000__Person_0001,2,2,1.0
4,Hospital_000__Person_0003,2,4,0.5
4,Hospital_000__Person_0024,2,4,0.5
5,Hospital_000__Person_0003,2,3,0.6666666666666666
5,Hospital_000__Person_0024,1,3,0.3333333333333333
6,Hospital_000__Person_0004,4,4,1.0
7,Hospital_000__Person_0005,2,2,1.0
8,Hospital_000__Person_0005,2,2,1.0
9,Hospital_000__Person_0006,2,2,1.0
10,Hospital_000__Person_0006,4,4,1.0
11,Hospital_000__Person_0007,5,5,1.0
12,Hospital_000__Person_0007,2,2,1.0
13,Hospital_000__Person_0008,5,5,1.0
14,Hospital_000__Person_0009,2,2,1.0
15,Hospital_000__Person_0009,3,3,1.0
16,Hospital_000__Person_0009,2,2,1.0
17,Hospital_000__Person_0010,3,3,1.0
18,Hospital_000__Person_0011,2,2,1.0
19,Hospital_000__Person_0011,4,4,1.0
20,Hospital_000__Person_0013,6,6,1.0
21,Hospital_000__Person_0014,5,5,1.0
22,Hospital_000__Person_0015,3,3,1.0
23,Hospital_000__Person_0015,2,2,1.0
24,Hospital_000__Person_0015,2,2,1.0
25,Hospital_000__Person_0017,2,2,1.0
26,Hospital_000__Person_0018,4,4,1.0
27,Hospital_000__Person_0019,2,2,1.0
28,Hospital_000__Person_0019,2,2,1.0
29,Hospital_000__Person_0020,6,6,1.0
30,Hospital_000__Person_0020,2,2,1.0
31,Hospital_000__Person_0021,6,6,1.0
32,Hospital_000__Person_0021,1,2,0.5
32,Hospital_000__Person_0039,1,2,0.5
33,Hospital_000__Person_0022,8,8,1.0
34,Hospital_000__Person_0023,6,6,1.0
35,Hospital_000__Person_0025,2,2,1.0
36,Hospital_000__Person_0027,2,2,1.0
37,Hospital_000__Person_0028,6,10,0.6
37,Hospital_000__Person_0038,4,10,0.4
38,Hospital_000__Person_0029,2,2,1.0
39,Hospital_000__Person_0029,5,5,1.0
40,Hospital_000__Person_0030,2,2,1.0
41,Hospital_000__Person_0030,3,3,1.0
42,Hospital_000__Person_0031,3,3,1.0
43,Hospital_000__Person_0033,2,2,1.0
44,Hospital_000__Person_0033,6,6,1.0
45,Hospital_000__Person_0034,4,4,1.0
46,Hospital_000__Person_0034,2,2,1.0
47,Hospital_000__Person_0034,2,2,1.0
48,Hospital_000__Person_0035,6,6,1.0
49,Hospital_000__Person_0036,3,3,1.0
50,Hospital_000__Person_0039,3,3,1.0
51,Hospital_000__Person_0039,2,2,1.0
52,Warehouse_015__Person_0001,7,40,0.175
52,Warehouse_015__Person_0017,1,40,0.025
52,Warehouse_015__Person_0167,6,40,0.15
52,Warehouse_015__Person_0189,1,40,0.025
52,Warehouse_015__Person_0191,6,40,0.15
52,Warehouse_015__Person_0193,5,40,0.125
52,Warehouse_015__Person_0201,9,40,0.225
52,Warehouse_015__Person_0239,5,40,0.125
53,Warehouse_015__Person_0002,2,2,1.0
54,Warehouse_015__Person_0002,3,3,1.0
55,Warehouse_015__Person_0003,3,3,1.0
56,Warehouse_015__Person_0004,1,3,0.3333333333333333
56,Warehouse_015__Person_0179,2,3,0.6666666666666666
57,Warehouse_015__Person_0004,3,8,0.375
57,Warehouse_015__Person_0012,3,8,0.375
57,Warehouse_015__Person_0013,1,8,0.125
57,Warehouse_015__Person_0179,1,8,0.125
58,Warehouse_015__Person_0006,3,3,1.0
59,Warehouse_015__Person_0009,6,20,0.3
59,Warehouse_015__Person_0171,2,20,0.1
59,Warehouse_015__Person_0173,3,20,0.15
59,Warehouse_015__Person_0177,6,20,0.3
59,Warehouse_015__Person_0233,3,20,0.15
60,Warehouse_015__Person_0010,3,3,1.0
61,Warehouse_015__Person_0011,2,2,1.0
62,Warehouse_015__Person_0012,3,6,0.5
62,Warehouse_015__Person_0013,3,6,0.5
63,Warehouse_015__Person_0015,2,2,1.0
64,Warehouse_015__Person_0015,2,2,1.0
65,Warehouse_015__Person_0016,2,2,1.0
66,Warehouse_015__Person_0017,3,3,1.0
67,Warehouse_015__Person_0166,2,2,1.0
68,Warehouse_015__Person_0166,2,2,1.0
69,Warehouse_015__Person_0168,8,11,0.7272727272727273
69,Warehouse_015__Person_0200,1,11,0.09090909090909091
69,Warehouse_015__Person_0222,2,11,0.18181818181818182
70,Warehouse_015__Person_0169,2,3,0.6666666666666666
70,Warehouse_015__Person_0238,1,3,0.3333333333333333
71,Warehouse_015__Person_0169,2,2,1.0
72,Warehouse_015__Person_0170,1,9,0.1111111111111111
72,Warehouse_015__Person_0217,4,9,0.4444444444444444
72,Warehouse_015__Person_0238,4,9,0.4444444444444444
73,Warehouse_015__Person_0172,2,2,1.0
74,Warehouse_015__Person_0172,2,2,1.0
75,Warehouse_015__Person_0173,4,4,1.0
76,Warehouse_015__Person_0174,5,6,0.8333333333333334
76,Warehouse_015__Person_0235,1,6,0.16666666666666666
77,Warehouse_015__Person_0175,2,2,1.0
78,Warehouse_015__Person_0176,3,3,1.0
79,Warehouse_015__Person_0181,4,4,1.0
80,Warehouse_015__Person_0185,5,5,1.0
81,Warehouse_015__Person_0185,2,2,1.0
82,Warehouse_015__Person_0186,3,3,1.0
83,Warehouse_015__Person_0188,2,2,1.0
84,Warehouse_015__Person_0190,7,7,1.0
85,Warehouse_015__Person_0192,3,3,1.0
86,Warehouse_015__Person_0192,2,2,1.0
87,Warehouse_015__Person_0194,3,3,1.0
88,Warehouse_015__Person_0194,2,2,1.0
89,Warehouse_015__Person_0195,2,4,0.5
89,Warehouse_015__Person_0197,2,4,0.5
90,Warehouse_015__Person_0196,2,2,1.0
91,Warehouse_015__Person_0198,2,2,1.0
92,Warehouse_015__Person_0198,2,2,1.0
93,Warehouse_015__Person_0202,4,4,1.0
94,Warehouse_015__Person_0215,8,8,1.0
95,Warehouse_015__Person_0216,2,2,1.0
96,Warehouse_015__Person_0216,2,2,1.0
97,Warehouse_015__Person_0218,2,2,1.0
98,Warehouse_015__Person_0218,4,4,1.0
99,Warehouse_015__Person_0219,2,2,1.0
100,Warehouse_015__Person_0221,2,2,1.0
101,Warehouse_015__Person_0221,2,2,1.0
102,Warehouse_015__Person_0232,2,2,1.0
103,Warehouse_015__Person_0234,5,5,1.0
104,Warehouse_015__Person_0235,2,2,1.0
105,Warehouse_015__Person_0236,2,2,1.0
106,Warehouse_015__Person_0236,3,3,1.0
107,Warehouse_015__Person_0237,2,2,1.0
108,Warehouse_015__Person_0241,2,2,1.0
109,Warehouse_015__Transporter_0007,5,5,1.0
110,Warehouse_016__FourierGR1T2_0352,1,4,0.25
110,Warehouse_016__FourierGR1T2_0354,1,4,0.25
110,Warehouse_016__FourierGR1T2_0626,1,4,0.25
110,Warehouse_016__FourierGR1T2_0627,1,4,0.25
111,Warehouse_016__FourierGR1T2_0352,3,6,0.5
111,Warehouse_016__FourierGR1T2_0353,1,6,0.16666666666666666
111,Warehouse_016__FourierGR1T2_0354,2,6,0.3333333333333333
112,Warehouse_016__FourierGR1T2_0352,1,4,0.25
112,Warehouse_016__FourierGR1T2_0353,1,4,0.25
112,Warehouse_016__FourierGR1T2_0354,1,4,0.25
112,Warehouse_016__FourierGR1T2_0627,1,4,0.25
