cluster_label,dominant_identity,dominant_count,cluster_total,num_real_ids,purity
52,Warehouse_015__Person_0201,9,40,8,0.225
59,Warehouse_015__Person_0009,6,20,5,0.3
57,Warehouse_015__Person_0004,3,8,4,0.375
110,Warehouse_016__FourierGR1T2_0352,1,4,4,0.25
112,Warehouse_016__FourierGR1T2_0352,1,4,4,0.25
69,Warehouse_015__Person_0168,8,11,3,0.7272727272727273
72,Warehouse_015__Person_0217,4,9,3,0.4444444444444444
111,Warehouse_016__FourierGR1T2_0352,3,6,3,0.5
37,Hospital_000__Person_0028,6,10,2,0.6
62,Warehouse_015__Person_0012,3,6,2,0.5
76,Warehouse_015__Person_0174,5,6,2,0.8333333333333334
4,Hospital_000__Person_0003,2,4,2,0.5
89,Warehouse_015__Person_0195,2,4,2,0.5
5,Hospital_000__Person_0003,2,3,2,0.6666666666666666
56,Warehouse_015__Person_0179,2,3,2,0.6666666666666666
70,Warehouse_015__Person_0169,2,3,2,0.6666666666666666
0,Hospital_000__Person_0000,1,2,2,0.5
32,Hospital_000__Person_0021,1,2,2,0.5
