num_crops,global_id,identity_key,label,true_label,camera,camera_id,scene,object_type,is_occluded,occluded_crop_ratio,start_frame,end_frame,example_crop_path,track_id,cluster_label,cluster_as_identity,cluster_purity,is_noise,is_misclustered
121,Person_0024,Hospital_000__Person_0024,24,24,Camera_04,14,Hospital_000,Person,1,0.21487603305785125,1020,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0024/Camera_04/Person_0024_Camera_04_f001020_r006.jpg,None,4,Hospital_000__Person_0003,0.5,False,True
714,Person_0024,Hospital_000__Person_0024,24,24,Camera_19,29,Hospital_000,Person,1,0.6246498599439776,0,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0024/Camera_19/Person_0024_Camera_19_f000000_r004.jpg,None,5,Hospital_000__Person_0003,0.6666666666666666,False,True
457,Person_0024,Hospital_000__Person_0024,24,24,Camera_27,37,Hospital_000,Person,1,0.6345733041575492,0,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0024/Camera_27/Person_0024_Camera_27_f000000_r007.jpg,None,4,Hospital_000__Person_0003,0.5,False,True
70,Person_0034,Hospital_000__Person_0034,34,34,Camera_07,17,Hospital_000,Person,1,0.5428571428571428,2040,7260,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0034/Camera_07/Person_0034_Camera_07_f002040_r001.jpg,None,0,Hospital_000__Person_0000,0.5,False,True
267,Person_0038,Hospital_000__Person_0038,38,38,Camera_03,13,Hospital_000,Person,1,0.6666666666666666,2880,8370,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0038/Camera_03/Person_0038_Camera_03_f002880_r002.jpg,None,37,Hospital_000__Person_0028,0.6,False,True
384,Person_0038,Hospital_000__Person_0038,38,38,Camera_05,15,Hospital_000,Person,1,0.6666666666666666,2250,8730,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0038/Camera_05/Person_0038_Camera_05_f002250_r001.jpg,None,37,Hospital_000__Person_0028,0.6,False,True
196,Person_0038,Hospital_000__Person_0038,38,38,Camera_22,32,Hospital_000,Person,1,0.6632653061224489,2880,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0038/Camera_22/Person_0038_Camera_22_f002880_r003.jpg,None,37,Hospital_000__Person_0028,0.6,False,True
365,Person_0038,Hospital_000__Person_0038,38,38,Camera_24,34,Hospital_000,Person,1,0.6465753424657534,2670,8760,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0038/Camera_24/Person_0038_Camera_24_f002670_r003.jpg,None,37,Hospital_000__Person_0028,0.6,False,True
30,Person_0039,Hospital_000__Person_0039,39,39,Camera_08,18,Hospital_000,Person,1,0.4,4470,7560,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Hospital_000/crops/Person_0039/Camera_08/Person_0039_Camera_08_f004470_r008.jpg,None,32,Hospital_000__Person_0021,0.5,False,True
504,Person_0001,Warehouse_015__Person_0001,47,47,Camera,0,Warehouse_015,Person,1,0.6587301587301587,450,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Warehouse_015/crops/Person_0001/Camera/Person_0001_Camera_f000450_r010.jpg,None,52,Warehouse_015__Person_0201,0.225,False,True
218,Person_0001,Warehouse_015__Person_0001,47,47,Camera_01,11,Warehouse_015,Person,1,0.5963302752293578,0,8850,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Warehouse_015/crops/Person_0001/Camera_01/Person_0001_Camera_01_f000000_r021.jpg,None,52,Warehouse_015__Person_0201,0.225,False,True
470,Person_0001,Warehouse_015__Person_0001,47,47,Camera_04,14,Warehouse_015,Person,1,0.6638297872340425,480,8970,/pfs/data6/home/st/st_us-053000/st_st191959/DL-Lab/DataSet/MTMC_Tracking_2025_Preprocessed/val/Warehouse_015/crops/Person_0001/Camera_04/Person_0001_Camera_04_f000480_r005.jpg,None,52,Warehouse_015__Person_0201,0.225,False,True
